Point	X	Y	Z
0	26188 mm	3490.335 mm	-2758.7 mm
1	26514 mm	3201.239 mm	-6063.078 mm
2	26641 mm	3054.905 mm	-7735.689 mm
3	26958 mm	2690.332 mm	-11902.772 mm
4	27083 mm	2546.525 mm	-13546.493 mm
5	26905 mm	1886.32 mm	-21092.668 mm
6	24217 mm	1886.32 mm	-21092.668 mm
7	21682 mm	2546.525 mm	-13546.493 mm
8	18867 mm	2546.525 mm	-13546.493 mm
9	18867 mm	2690.332 mm	-11902.772 mm
10	21130 mm	2690.332 mm	-11902.772 mm
11	19730 mm	3054.905 mm	-7735.689 mm
12	17207 mm	3054.905 mm	-7735.689 mm
13	17207 mm	3201.239 mm	-6063.078 mm
14	19169 mm	3201.239 mm	-6063.078 mm
15	18060 mm	3490.335 mm	-2758.7 mm
