Point	X	Y	Z
0	13970 mm	2886 mm	-2840 mm
1	13970 mm	-2278 mm	-2840 mm
2	9960 mm	-2278 mm	-2840 mm
3	7557 mm	-1900 mm	-2065 mm
4	6124 mm	-1413 mm	-1367 mm
5	4784 mm	-670 mm	-426 mm
6	4784 mm	-670 mm	0 mm
7	4784 mm	-670 mm	426 mm
8	6124 mm	-1413 mm	1367 mm
9	7557 mm	-1900 mm	2065 mm
10	9960 mm	-2278 mm	2840 mm
11	13970 mm	-2278 mm	2840 mm
12	13970 mm	2886 mm	2840 mm
13	9960 mm	2886 mm	2840 mm
14	7557 mm	2653 mm	2065 mm
15	6124 mm	1207 mm	1367 mm
16	4784 mm	265 mm	426 mm
17	4784 mm	265 mm	0 mm
18	4784 mm	265 mm	-426 mm
19	6124 mm	1207 mm	-1367 mm
20	7557 mm	2653 mm	-2065 mm
21	9960 mm	2886 mm	-2840 mm
